symbol,
BRK-B,
BF-B,
AAPL,
VRTX,
PH,
AMD,
NOW,
MDT,
STX,
MAR,
WELL,
GE,
MSFT,ok
FDX,
DIS,
CRM,
UBER,
NEE,
ABT,
AMAT,
GOOG,
MA,
CEG,
BLK,
BAC,
APH,
ACN,
TMO,
WDC,
GOOGL,
TSLA,
AMGN,
COP,
EQIX,ohk
CSCO,
C,
WFC,
HD,
GLW,
GILD,
NEM,
ABBV,
IBM,
NFLX,ohk
GS,
BKNG,
JPM,
CDNS,
KLAC,
TMUS,
BNY,
ETN,
MCD,
HWM,ohk
ADBE,
MU,
LMT,
PLD,
GD,
SYK,
DUK,
GEV,
AXP,
PANW,OHK
HON,
DELL,
CB,
CAT,
META,
CME,
SBUX,
RTX,
MS,
WMB,
TT,
DHR,
LRCX,
ANET,
T,
NVDA,
V,
LOW,
TXN,
PFE,
ISRG,
SNPS,
PWR,
APP,
AMZN,
BA,
PM,
WMT,
CRWD,
CVX,
COF,
LIN,
SCHW,
XOM,
SO,OHK
KO,
COST,
SPGI,
MO,
PEP,
JNJ,
MRK,
CVS,
BMY,
VRT,
SNDK,
ADI,
PLTR,
ORCL,
QCOM,
DE,
UNP,
FTNT,
LLY,
UNH,
BX,
AVGO,
PG,
PGR,
INTC,
VZ,
TJX,
MSCI,
MET,
TRGP,
ED,
ORLY,
ABNB,
TDG,
ITW,
INCY,
EL,
FIX,
DTE,
PHM,
ALGN,
GEN,
SLB,
HCA,
NWSA,
LVS,
CMG,
GNRC,
AON,
HRL,
CL,OHK
PNW,
BEN,
CIEN,
GEHC,
ETR,
LUV,
FDS,
WDAY,
MCO,
TPR,
OKE,
AZO,
GPC,
KMI,
GPN,
APO,
EXE,
PNR,
DHI,
PSKY,
CPT,
UHS,
STE,
LEN,
NUE,
AES,
MRSH,
PEG,
IBKR,
CTSH,
VRSK,
PCAR,
BRO,
TXT,
LYB,
OMC,
STT,
COHR,
TPL,
WM,
FSLR,
FRT,
TAP,
EQR,
RF,
ON,
CPAY,
MLM,
BIIB,
WAB,
TDY,
WSM,
CRL,
PYPL,
COO,
VRSN,
NOC,
SYF,
KR,
DLTR,
AJG,
LYV,
CFG,
MAA,
ROL,
TRV,
RL,
IP,
DAL,
FITB,
VLTO,
ATO,
EFX,
DECK,
GM,
RSG,
KEYS,
VST,
CVNA,
CNP,
BXP,
TTD,
RMD,
PAYX,
MAS,
AIG,
EIX,
AVY,
JBHT,
FCX,
FANG,
MCK,
EOG,
LNT,
DRI,
ES,
NXPI,
APD,
BDX,
EXPD,
LH,
AMP,
IVZ,
J,
EPAM,
DXCM,
IQV,
WRB,
MPC,
XEL,
KMB,
TSCO,
GDDY,
PODD,
FOX,
GRMN,
LII,
COIN,
PPG,
BR,
KIM,
TER,
JKHY,
AMCR,
SPG,
HPE,
PPL,
PFG,
ICE,
TSN,
ALL,
VEEV,
AXON,
BSX,
CASY,
MMM,
L,
ARE,
DG,
CCI,
AEE,
MKC,
MRNA,
AMT,
STLD,
CRH,
Q,
MSI,
ELV,
ECL,
APA,
CDW,
NTAP,
UAL,
HUM,
FE,
ADP,
KKR,
CMI,
CMCSA,
SATS,
DVN,
PSA,
ROK,
DOV,
DDOG,
PNC,
AEP,
NDAQ,
EQT,
WTW,
MTD,
TROW,
NVR,
IFF,
EXR,
EVRG,
HST,
AIZ,
EXPE,
TFC,
DVA,
CLX,
WYNN,
HII,
AOS,
KDP,
HOOD,
GL,
JCI,
INVH,
LULU,
AFL,
RCL,
SRE,
BG,
HPQ,
HLT,
GWW,
ROST,
IRM,
EME,
HSY,
URI,
WEC,
CNC,
AVB,
IR,
BALL,
UDR,
IT,
WAT,
DPZ,
PTC,
TTWO,
NSC,
ZBRA,
JBL,
PCG,
FFIV,
ADM,
CMS,
CHRW,
ROP,
LHX,
IDXX,
FOXA,
CSX,
NWS,
INTU,
CI,
BAX,
REGN,
CAH,
MPWR,
EXC,
MDLZ,
HBAN,
MNST,
NTRS,
TYL,
NI,
USB,
D,
XYZ,
VMC,
A,
NRG,
OTIS,
ULTA,
SMCI,
ACGL,
CHTR,
GIS,
APTV,
WBD,
NKE,
CBRE,
CTAS,
FISV,
ARES,
ESS,
ZBH,
SJM,
SWK,
HSIC,
EW,
COR,
MOS,
EBAY,
CBOE,
VTRS,
LITE,
CAG,
LDOS,
RVTY,
OXY,
CPRT,
HAL,
EG,
PSX,
DD,
SOLV,
ALLE,
CHD,
KEY,
FTV,
UPS,
O,
WST,
FIS,
ADSK,
DOC,
CSGP,
POOL,
FAST,
SHW,
CF,
SWKS,
ZTS,
CTVA,
F,
SBAC,
MTB,
DGX,
VLO,
TEL,
CINF,
DLR,
EMR,
TGT,
WY,
NDSN,
TECH,
YUM,
CARR,
VTR,
CPB,
AKAM,
SYY,
DOW,
AWK,
ODFL,
TKO,
DASH,
PRU,
FICO,
REG,
EA,
RJF,
SNA,
HIG,
XYL,
KHC,
TRMB,
BKR,
IEX,
ALB,
KVUE,
SW,
PKG,
MGM,
ERIE,
STZ,
AME,
HUBB,
BBY,
MCHP,
CCL,
VICI,OHK
